(2020-12-01 20:40:44,707) [START] Task-0_M3 Started Execution
(2020-12-01 20:40:45,715) [FINISH] TASK 0_M3 Finished execution. Total duration - 1003.130
(2020-12-01 20:40:47,836) [START] Task-1_M0 Started Execution
(2020-12-01 20:40:47,837) [START] Task-1_M1 Started Execution
(2020-12-01 20:40:48,618) [START] Task-2_M2 Started Execution
(2020-12-01 20:40:48,838) [FINISH] TASK 1_M0 Finished execution. Total duration - 1001.378
(2020-12-01 20:40:48,838) [FINISH] TASK 1_M1 Finished execution. Total duration - 1001.498
(2020-12-01 20:40:48,860) [START] Task-1_R0 Started Execution
(2020-12-01 20:40:49,156) [START] Task-4_M0 Started Execution
(2020-12-01 20:40:49,619) [FINISH] TASK 2_M2 Finished execution. Total duration - 1000.871
(2020-12-01 20:40:49,862) [FINISH] TASK 1_R0 Finished execution. Total duration - 1001.419
(2020-12-01 20:40:51,060) [START] Task-5_M0 Started Execution
(2020-12-01 20:40:51,060) [START] Task-5_M1 Started Execution
(2020-12-01 20:40:51,061) [START] Task-5_M2 Started Execution
(2020-12-01 20:40:51,159) [FINISH] TASK 4_M0 Finished execution. Total duration - 2002.569
(2020-12-01 20:40:51,165) [START] Task-4_R0 Started Execution
(2020-12-01 20:40:51,165) [START] Task-4_R1 Started Execution
(2020-12-01 20:40:53,169) [FINISH] TASK 4_R1 Finished execution. Total duration - 2003.481
(2020-12-01 20:40:53,703) [START] Task-8_M0 Started Execution
(2020-12-01 20:40:54,065) [FINISH] TASK 5_M1 Finished execution. Total duration - 3004.245
(2020-12-01 20:40:54,068) [FINISH] TASK 5_M0 Finished execution. Total duration - 3007.674
(2020-12-01 20:40:54,707) [START] Task-3_R0 Started Execution
(2020-12-01 20:40:55,069) [FINISH] TASK 5_M2 Finished execution. Total duration - 4008.088
(2020-12-01 20:40:55,075) [START] Task-5_R0 Started Execution
(2020-12-01 20:40:55,075) [START] Task-5_R1 Started Execution
(2020-12-01 20:40:55,173) [FINISH] TASK 4_R0 Finished execution. Total duration - 4008.092
(2020-12-01 20:40:55,181) [START] Task-9_M2 Started Execution
(2020-12-01 20:40:56,706) [FINISH] TASK 8_M0 Finished execution. Total duration - 3003.394
(2020-12-01 20:40:57,109) [START] Task-8_R0 Started Execution
(2020-12-01 20:40:57,194) [FINISH] TASK 9_M2 Finished execution. Total duration - 2013.082
(2020-12-01 20:40:57,712) [FINISH] TASK 3_R0 Finished execution. Total duration - 3005.358
(2020-12-01 20:40:58,085) [FINISH] TASK 5_R1 Finished execution. Total duration - 3009.144
(2020-12-01 20:40:58,112) [START] Task-11_M0 Started Execution
(2020-12-01 20:40:58,113) [START] Task-11_M2 Started Execution
(2020-12-01 20:40:58,114) [START] Task-11_M3 Started Execution
(2020-12-01 20:40:59,090) [FINISH] TASK 5_R0 Finished execution. Total duration - 4014.409
(2020-12-01 20:40:59,529) [START] Task-9_R1 Started Execution
(2020-12-01 20:41:00,116) [FINISH] TASK 11_M0 Finished execution. Total duration - 2003.100
(2020-12-01 20:41:00,117) [FINISH] TASK 8_R0 Finished execution. Total duration - 3007.041
(2020-12-01 20:41:00,118) [FINISH] TASK 11_M3 Finished execution. Total duration - 2002.250
(2020-12-01 20:41:00,527) [FINISH] TASK 11_M2 Finished execution. Total duration - 2411.950
(2020-12-01 20:41:00,534) [FINISH] TASK 9_R1 Finished execution. Total duration - 1002.870
(2020-12-01 20:41:00,535) [START] Task-13_M3 Started Execution
(2020-12-01 20:41:00,536) [START] Task-10_R0 Started Execution
(2020-12-01 20:41:00,536) [START] Task-10_R1 Started Execution
(2020-12-01 20:41:00,537) [START] Task-14_M0 Started Execution
(2020-12-01 20:41:00,538) [START] Task-11_R0 Started Execution
(2020-12-01 20:41:03,550) [FINISH] TASK 10_R0 Finished execution. Total duration - 3013.730
(2020-12-01 20:41:03,552) [FINISH] TASK 14_M0 Finished execution. Total duration - 3015.144
(2020-12-01 20:41:03,555) [START] Task-15_M3 Started Execution
(2020-12-01 20:41:03,555) [START] Task-12_R0 Started Execution
(2020-12-01 20:41:04,551) [FINISH] TASK 10_R1 Finished execution. Total duration - 4014.148
(2020-12-01 20:41:04,551) [FINISH] TASK 11_R0 Finished execution. Total duration - 4013.060
(2020-12-01 20:41:04,553) [FINISH] TASK 13_M3 Finished execution. Total duration - 4017.861
(2020-12-01 20:41:04,556) [FINISH] TASK 12_R0 Finished execution. Total duration - 1000.508
(2020-12-01 20:41:04,588) [START] Task-14_R0 Started Execution
(2020-12-01 20:41:04,588) [START] Task-14_R1 Started Execution
(2020-12-01 20:41:06,558) [FINISH] TASK 15_M3 Finished execution. Total duration - 3002.912
(2020-12-01 20:41:06,564) [START] Task-15_R0 Started Execution
(2020-12-01 20:41:06,590) [FINISH] TASK 14_R1 Finished execution. Total duration - 2001.564
(2020-12-01 20:41:07,074) [START] Task-18_M0 Started Execution
(2020-12-01 20:41:07,566) [FINISH] TASK 15_R0 Finished execution. Total duration - 1001.932
(2020-12-01 20:41:08,079) [START] Task-17_R0 Started Execution
(2020-12-01 20:41:09,074) [FINISH] TASK 14_R0 Finished execution. Total duration - 4486.055
(2020-12-01 20:41:10,077) [FINISH] TASK 18_M0 Finished execution. Total duration - 3003.276
(2020-12-01 20:41:10,081) [FINISH] TASK 17_R0 Finished execution. Total duration - 2002.275
(2020-12-01 23:35:23,863) [START] Task-0_M0 Started Execution
(2020-12-01 23:36:33,143) [START] Task-0_M1 Started Execution
(2020-12-01 23:36:33,144) [START] Task-0_M2 Started Execution
(2020-12-01 23:36:35,146) [FINISH] TASK 0_M2 Finished execution. Total duration - 2002.276
(2020-12-01 23:36:36,146) [FINISH] TASK 0_M1 Finished execution. Total duration - 3002.557
(2020-12-01 23:36:37,159) [START] Task-0_R0 Started Execution
(2020-12-01 23:36:40,162) [FINISH] TASK 0_R0 Finished execution. Total duration - 3003.129
(2020-12-01 23:37:46,997) [START] Task-0_M0 Started Execution
(2020-12-01 23:37:47,999) [FINISH] TASK 0_M0 Finished execution. Total duration - 1001.212
(2020-12-01 23:37:49,083) [START] Task-1_M1 Started Execution
(2020-12-01 23:37:50,012) [START] Task-0_R0 Started Execution
(2020-12-01 23:37:52,085) [FINISH] TASK 1_M1 Finished execution. Total duration - 3002.202
(2020-12-01 23:37:53,097) [START] Task-1_R0 Started Execution
(2020-12-01 23:37:54,016) [FINISH] TASK 0_R0 Finished execution. Total duration - 4004.054
(2020-12-01 23:37:57,101) [FINISH] TASK 1_R0 Finished execution. Total duration - 4003.725
(2020-12-01 23:39:08,380) [START] Task-1_M0 Started Execution
(2020-12-01 23:39:08,384) [START] Task-1_M1 Started Execution
(2020-12-01 23:39:08,385) [START] Task-1_M2 Started Execution
(2020-12-01 23:39:09,386) [FINISH] TASK 1_M2 Finished execution. Total duration - 1001.212
(2020-12-01 23:39:11,384) [FINISH] TASK 1_M0 Finished execution. Total duration - 3002.831
(2020-12-01 23:39:12,388) [FINISH] TASK 1_M1 Finished execution. Total duration - 4003.774
(2020-12-01 23:39:12,399) [START] Task-1_R1 Started Execution
(2020-12-01 23:39:15,402) [FINISH] TASK 1_R1 Finished execution. Total duration - 3002.793
(2020-12-01 23:40:23,492) [START] Task-1_M0 Started Execution
(2020-12-01 23:40:26,323) [START] Task-0_R0 Started Execution
(2020-12-01 23:40:27,325) [FINISH] TASK 0_R0 Finished execution. Total duration - 1001.226
(2020-12-01 23:40:27,496) [FINISH] TASK 1_M0 Finished execution. Total duration - 4004.218
(2020-12-01 23:40:27,507) [START] Task-1_R0 Started Execution
(2020-12-01 23:40:30,510) [FINISH] TASK 1_R0 Finished execution. Total duration - 3003.342
(2020-12-01 23:50:02,835) [START] Task-0_M0 Started Execution
(2020-12-01 23:50:02,835) [START] Task-0_M1 Started Execution
(2020-12-01 23:50:04,062) [START] Task-1_M1 Started Execution
(2020-12-01 23:50:04,063) [START] Task-1_M3 Started Execution
(2020-12-01 23:50:04,837) [FINISH] TASK 0_M0 Finished execution. Total duration - 2002.307
(2020-12-01 23:50:05,838) [FINISH] TASK 0_M1 Finished execution. Total duration - 3002.953
(2020-12-01 23:50:06,064) [FINISH] TASK 1_M1 Finished execution. Total duration - 2001.718
(2020-12-01 23:50:06,866) [START] Task-0_R1 Started Execution
(2020-12-01 23:50:07,066) [FINISH] TASK 1_M3 Finished execution. Total duration - 3002.496
(2020-12-01 23:50:17,415) [START] Task-0_M0 Started Execution
(2020-12-01 23:50:18,416) [FINISH] TASK 0_M0 Finished execution. Total duration - 1000.309
(2020-12-01 23:50:18,823) [START] Task-1_M0 Started Execution
(2020-12-01 23:50:20,430) [START] Task-0_R1 Started Execution
(2020-12-01 23:50:22,433) [FINISH] TASK 0_R1 Finished execution. Total duration - 2002.174
(2020-12-01 23:50:22,827) [FINISH] TASK 1_M0 Finished execution. Total duration - 4004.087
(2020-12-01 23:51:07,662) [START] Task-0_M1 Started Execution
(2020-12-01 23:51:09,318) [START] Task-2_M1 Started Execution
(2020-12-01 23:51:09,664) [FINISH] TASK 0_M1 Finished execution. Total duration - 2001.738
(2020-12-01 23:51:09,695) [START] Task-0_R0 Started Execution
(2020-12-01 23:51:09,956) [START] Task-4_M2 Started Execution
(2020-12-01 23:51:10,696) [FINISH] TASK 0_R0 Finished execution. Total duration - 1001.180
(2020-12-01 23:51:10,912) [START] Task-5_M0 Started Execution
(2020-12-01 23:51:10,912) [START] Task-5_M2 Started Execution
(2020-12-01 23:51:11,782) [START] Task-6_M1 Started Execution
(2020-12-01 23:51:11,914) [FINISH] TASK 5_M2 Finished execution. Total duration - 1001.207
(2020-12-01 23:51:12,212) [START] Task-7_M0 Started Execution
(2020-12-01 23:51:12,321) [FINISH] TASK 2_M1 Finished execution. Total duration - 3002.644
(2020-12-01 23:51:12,913) [FINISH] TASK 5_M0 Finished execution. Total duration - 2001.329
(2020-12-01 23:51:12,959) [FINISH] TASK 4_M2 Finished execution. Total duration - 3001.827
(2020-12-01 23:51:12,970) [START] Task-4_R0 Started Execution
(2020-12-01 23:51:13,927) [START] Task-5_R0 Started Execution
(2020-12-01 23:51:13,971) [FINISH] TASK 4_R0 Finished execution. Total duration - 1001.216
(2020-12-01 23:51:14,214) [FINISH] TASK 7_M0 Finished execution. Total duration - 2002.287
(2020-12-01 23:51:14,226) [START] Task-7_R1 Started Execution
(2020-12-01 23:51:14,727) [START] Task-9_M1 Started Execution
(2020-12-01 23:51:14,934) [START] Task-10_M1 Started Execution
(2020-12-01 23:51:15,786) [FINISH] TASK 6_M1 Finished execution. Total duration - 4003.570
(2020-12-01 23:51:15,818) [START] Task-6_R0 Started Execution
(2020-12-01 23:51:16,820) [FINISH] TASK 6_R0 Finished execution. Total duration - 1001.202
(2020-12-01 23:51:16,936) [FINISH] TASK 10_M1 Finished execution. Total duration - 2002.061
(2020-12-01 23:51:17,180) [START] Task-11_M1 Started Execution
(2020-12-01 23:51:17,229) [FINISH] TASK 7_R1 Finished execution. Total duration - 3003.151
(2020-12-01 23:51:17,359) [START] Task-12_M1 Started Execution
(2020-12-01 23:51:17,359) [START] Task-12_M3 Started Execution
(2020-12-01 23:51:17,931) [FINISH] TASK 5_R0 Finished execution. Total duration - 4003.898
(2020-12-01 23:51:18,360) [FINISH] TASK 12_M3 Finished execution. Total duration - 1000.503
(2020-12-01 23:51:18,731) [FINISH] TASK 9_M1 Finished execution. Total duration - 4003.998
(2020-12-01 23:51:18,898) [START] Task-14_M0 Started Execution
(2020-12-01 23:51:18,899) [START] Task-14_M3 Started Execution
(2020-12-01 23:51:18,949) [START] Task-10_R1 Started Execution
(2020-12-01 23:51:19,900) [FINISH] TASK 14_M3 Finished execution. Total duration - 1000.846
(2020-12-01 23:51:19,911) [START] Task-16_M0 Started Execution
(2020-12-01 23:51:20,362) [FINISH] TASK 12_M1 Finished execution. Total duration - 3003.001
(2020-12-01 23:51:20,375) [START] Task-16_M3 Started Execution
(2020-12-01 23:51:21,184) [FINISH] TASK 11_M1 Finished execution. Total duration - 4003.482
(2020-12-01 23:51:21,216) [START] Task-11_R0 Started Execution
(2020-12-01 23:51:21,901) [FINISH] TASK 14_M0 Finished execution. Total duration - 3003.251
(2020-12-01 23:51:21,913) [START] Task-18_M1 Started Execution
(2020-12-01 23:51:21,952) [FINISH] TASK 10_R1 Finished execution. Total duration - 3002.455
(2020-12-01 23:51:21,963) [START] Task-19_M0 Started Execution
(2020-12-01 23:51:22,217) [FINISH] TASK 11_R0 Finished execution. Total duration - 1001.178
(2020-12-01 23:51:22,228) [START] Task-19_M1 Started Execution
(2020-12-01 23:51:23,230) [FINISH] TASK 19_M1 Finished execution. Total duration - 1001.203
(2020-12-01 23:51:23,240) [START] Task-15_R1 Started Execution
(2020-12-01 23:51:23,915) [FINISH] TASK 16_M0 Finished execution. Total duration - 4004.254
(2020-12-01 23:51:23,915) [FINISH] TASK 18_M1 Finished execution. Total duration - 2002.268
(2020-12-01 23:51:23,926) [START] Task-21_M1 Started Execution
(2020-12-01 23:51:23,927) [START] Task-21_M2 Started Execution
(2020-12-01 23:51:23,965) [FINISH] TASK 19_M0 Finished execution. Total duration - 2001.697
(2020-12-01 23:51:23,976) [START] Task-21_M3 Started Execution
(2020-12-01 23:51:24,242) [FINISH] TASK 15_R1 Finished execution. Total duration - 1001.263
(2020-12-01 23:51:24,379) [FINISH] TASK 16_M3 Finished execution. Total duration - 4004.046
(2020-12-01 23:51:24,390) [START] Task-16_R0 Started Execution
(2020-12-01 23:51:24,391) [START] Task-19_R1 Started Execution
(2020-12-01 23:51:24,930) [FINISH] TASK 21_M2 Finished execution. Total duration - 1002.344
(2020-12-01 23:51:25,165) [START] Task-23_M0 Started Execution
(2020-12-01 23:51:27,394) [FINISH] TASK 19_R1 Finished execution. Total duration - 3002.585
(2020-12-01 23:51:27,929) [FINISH] TASK 21_M1 Finished execution. Total duration - 4003.203
(2020-12-01 23:51:27,981) [FINISH] TASK 21_M3 Finished execution. Total duration - 4004.714
(2020-12-01 23:51:27,992) [START] Task-21_R0 Started Execution
(2020-12-01 23:51:28,168) [FINISH] TASK 23_M0 Finished execution. Total duration - 3002.763
(2020-12-01 23:51:28,394) [FINISH] TASK 16_R0 Finished execution. Total duration - 4004.159
(2020-12-01 23:52:16,533) [START] Task-0_M0 Started Execution
(2020-12-01 23:52:16,534) [START] Task-0_M3 Started Execution
(2020-12-01 23:52:17,535) [FINISH] TASK 0_M0 Finished execution. Total duration - 1001.226
(2020-12-01 23:52:18,531) [START] Task-2_M0 Started Execution
(2020-12-01 23:52:18,532) [START] Task-2_M3 Started Execution
(2020-12-01 23:52:20,244) [START] Task-3_M2 Started Execution
(2020-12-01 23:52:20,533) [FINISH] TASK 2_M0 Finished execution. Total duration - 2001.542
(2020-12-01 23:52:20,537) [FINISH] TASK 0_M3 Finished execution. Total duration - 4002.920
(2020-12-01 23:52:20,593) [START] Task-0_R1 Started Execution
(2020-12-01 23:52:20,680) [START] Task-4_M1 Started Execution
(2020-12-01 23:52:21,296) [START] Task-1_R0 Started Execution
(2020-12-01 23:52:21,535) [FINISH] TASK 2_M3 Finished execution. Total duration - 3002.837
(2020-12-01 23:52:21,595) [FINISH] TASK 0_R1 Finished execution. Total duration - 1001.209
(2020-12-01 23:52:22,547) [START] Task-2_R1 Started Execution
(2020-12-01 23:52:22,683) [FINISH] TASK 4_M1 Finished execution. Total duration - 2002.287
(2020-12-01 23:52:23,299) [FINISH] TASK 1_R0 Finished execution. Total duration - 2002.314
(2020-12-01 23:52:23,763) [START] Task-5_R0 Started Execution
(2020-12-01 23:52:24,248) [FINISH] TASK 3_M2 Finished execution. Total duration - 4003.693
(2020-12-01 23:52:24,563) [START] Task-6_M0 Started Execution
(2020-12-01 23:52:24,645) [START] Task-7_M1 Started Execution
(2020-12-01 23:52:24,646) [START] Task-7_M3 Started Execution
(2020-12-01 23:52:25,550) [FINISH] TASK 2_R1 Finished execution. Total duration - 3002.437
(2020-12-01 23:52:25,564) [FINISH] TASK 6_M0 Finished execution. Total duration - 1000.420
(2020-12-01 23:52:25,866) [START] Task-9_M1 Started Execution
(2020-12-01 23:52:25,974) [START] Task-8_R0 Started Execution
(2020-12-01 23:52:26,648) [FINISH] TASK 7_M1 Finished execution. Total duration - 2002.500
(2020-12-01 23:52:26,648) [FINISH] TASK 7_M3 Finished execution. Total duration - 2001.715
(2020-12-01 23:52:26,650) [START] Task-11_M1 Started Execution
(2020-12-01 23:52:26,650) [START] Task-11_M2 Started Execution
(2020-12-01 23:52:26,766) [FINISH] TASK 5_R0 Finished execution. Total duration - 3003.160
(2020-12-01 23:52:26,767) [START] Task-7_R0 Started Execution
(2020-12-01 23:52:26,975) [FINISH] TASK 8_R0 Finished execution. Total duration - 1001.222
(2020-12-01 23:52:27,249) [START] Task-12_M1 Started Execution
(2020-12-01 23:52:28,769) [FINISH] TASK 7_R0 Finished execution. Total duration - 2001.722
(2020-12-01 23:52:28,869) [FINISH] TASK 9_M1 Finished execution. Total duration - 3003.001
(2020-12-01 23:52:28,880) [START] Task-9_R0 Started Execution
(2020-12-01 23:52:29,251) [FINISH] TASK 12_M1 Finished execution. Total duration - 2002.204
(2020-12-01 23:52:29,652) [FINISH] TASK 11_M1 Finished execution. Total duration - 3002.317
(2020-12-01 23:52:29,653) [FINISH] TASK 11_M2 Finished execution. Total duration - 3002.954
(2020-12-01 23:52:30,154) [START] Task-10_R0 Started Execution
(2020-12-01 23:52:30,263) [START] Task-12_R1 Started Execution
(2020-12-01 23:52:30,664) [START] Task-11_R1 Started Execution
(2020-12-01 23:52:30,882) [FINISH] TASK 9_R0 Finished execution. Total duration - 2002.220
(2020-12-01 23:52:31,155) [FINISH] TASK 10_R0 Finished execution. Total duration - 1001.180
(2020-12-01 23:52:31,885) [START] Task-13_R1 Started Execution
(2020-12-01 23:52:32,886) [FINISH] TASK 13_R1 Finished execution. Total duration - 1000.535
(2020-12-01 23:52:33,668) [FINISH] TASK 11_R1 Finished execution. Total duration - 3003.084
(2020-12-01 23:52:33,734) [START] Task-15_M2 Started Execution
(2020-12-01 23:52:34,267) [FINISH] TASK 12_R1 Finished execution. Total duration - 4003.777
(2020-12-01 23:52:34,319) [START] Task-16_M1 Started Execution
(2020-12-01 23:52:34,320) [START] Task-16_M3 Started Execution
(2020-12-01 23:52:34,835) [START] Task-17_M1 Started Execution
(2020-12-01 23:52:34,836) [START] Task-17_M3 Started Execution
(2020-12-01 23:52:36,321) [FINISH] TASK 16_M3 Finished execution. Total duration - 2001.338
(2020-12-01 23:52:36,737) [FINISH] TASK 15_M2 Finished execution. Total duration - 3002.447
(2020-12-01 23:52:36,836) [FINISH] TASK 17_M1 Finished execution. Total duration - 2000.837
(2020-12-01 23:52:37,748) [START] Task-15_R1 Started Execution
(2020-12-01 23:52:38,322) [FINISH] TASK 16_M1 Finished execution. Total duration - 4003.147
(2020-12-01 23:52:38,359) [START] Task-20_M1 Started Execution
(2020-12-01 23:52:38,840) [FINISH] TASK 17_M3 Finished execution. Total duration - 4004.124
(2020-12-01 23:52:39,068) [START] Task-18_R1 Started Execution
(2020-12-01 23:52:40,661) [START] Task-21_M1 Started Execution
(2020-12-01 23:52:40,751) [FINISH] TASK 15_R1 Finished execution. Total duration - 3002.984
(2020-12-01 23:52:41,018) [START] Task-22_M0 Started Execution
(2020-12-01 23:52:41,662) [FINISH] TASK 21_M1 Finished execution. Total duration - 1000.914
(2020-12-01 23:52:42,363) [FINISH] TASK 20_M1 Finished execution. Total duration - 4003.879
(2020-12-01 23:52:42,374) [START] Task-20_R1 Started Execution
(2020-12-01 23:52:43,020) [FINISH] TASK 22_M0 Finished execution. Total duration - 2001.684
(2020-12-01 23:52:43,072) [FINISH] TASK 18_R1 Finished execution. Total duration - 4003.939
(2020-12-01 23:52:44,676) [START] Task-21_R1 Started Execution
(2020-12-01 23:52:45,678) [FINISH] TASK 21_R1 Finished execution. Total duration - 1000.828
(2020-12-01 23:52:46,378) [FINISH] TASK 20_R1 Finished execution. Total duration - 4003.309
(2020-12-01 23:52:47,093) [START] Task-24_M0 Started Execution
(2020-12-01 23:52:47,164) [START] Task-25_M0 Started Execution
(2020-12-01 23:52:47,165) [START] Task-25_M2 Started Execution
(2020-12-01 23:52:48,095) [FINISH] TASK 24_M0 Finished execution. Total duration - 1001.233
(2020-12-01 23:52:49,167) [FINISH] TASK 25_M0 Finished execution. Total duration - 2002.286
(2020-12-01 23:52:50,107) [START] Task-24_R0 Started Execution
(2020-12-01 23:52:51,169) [FINISH] TASK 25_M2 Finished execution. Total duration - 4003.753
(2020-12-01 23:52:51,827) [START] Task-26_M0 Started Execution
(2020-12-01 23:52:52,807) [START] Task-27_M2 Started Execution
(2020-12-01 23:52:53,110) [FINISH] TASK 24_R0 Finished execution. Total duration - 3003.149
(2020-12-01 23:52:53,608) [START] Task-28_M1 Started Execution
(2020-12-01 23:52:53,778) [START] Task-30_M1 Started Execution
(2020-12-01 23:52:53,808) [FINISH] TASK 27_M2 Finished execution. Total duration - 1001.118
(2020-12-01 23:52:53,829) [FINISH] TASK 26_M0 Finished execution. Total duration - 2001.111
(2020-12-01 23:52:54,651) [START] Task-29_R1 Started Execution
(2020-12-01 23:52:54,779) [FINISH] TASK 30_M1 Finished execution. Total duration - 1001.140
(2020-12-01 23:52:54,887) [START] Task-31_M1 Started Execution
(2020-12-01 23:52:55,775) [START] Task-33_M1 Started Execution
(2020-12-01 23:52:55,821) [START] Task-27_R0 Started Execution
(2020-12-01 23:52:56,776) [FINISH] TASK 33_M1 Finished execution. Total duration - 1000.827
(2020-12-01 23:52:56,889) [FINISH] TASK 31_M1 Finished execution. Total duration - 2002.207
(2020-12-01 23:52:56,946) [START] Task-31_R1 Started Execution
(2020-12-01 23:52:57,612) [FINISH] TASK 28_M1 Finished execution. Total duration - 4004.121
(2020-12-01 23:52:57,623) [START] Task-28_R1 Started Execution
(2020-12-01 23:52:57,642) [START] Task-34_M1 Started Execution
(2020-12-01 23:52:57,948) [FINISH] TASK 31_R1 Finished execution. Total duration - 1001.220
(2020-12-01 23:52:58,624) [FINISH] TASK 28_R1 Finished execution. Total duration - 1000.360
(2020-12-01 23:52:58,654) [FINISH] TASK 29_R1 Finished execution. Total duration - 4003.348
(2020-12-01 23:52:59,644) [FINISH] TASK 34_M1 Finished execution. Total duration - 2001.870
(2020-12-01 23:52:59,824) [FINISH] TASK 27_R0 Finished execution. Total duration - 4003.299
(2020-12-01 23:53:01,657) [START] Task-34_R0 Started Execution
(2020-12-01 23:53:02,674) [START] Task-36_M0 Started Execution
(2020-12-01 23:53:04,446) [START] Task-37_M0 Started Execution
(2020-12-01 23:53:04,448) [START] Task-37_M3 Started Execution
(2020-12-01 23:53:04,660) [FINISH] TASK 34_R0 Finished execution. Total duration - 3002.775
(2020-12-01 23:53:04,927) [START] Task-35_R1 Started Execution
(2020-12-01 23:53:05,928) [FINISH] TASK 35_R1 Finished execution. Total duration - 1000.746
(2020-12-01 23:53:06,449) [FINISH] TASK 37_M3 Finished execution. Total duration - 2001.265
(2020-12-01 23:53:06,678) [FINISH] TASK 36_M0 Finished execution. Total duration - 4003.549
(2020-12-01 23:53:06,690) [START] Task-36_R1 Started Execution
(2020-12-01 23:53:08,450) [FINISH] TASK 37_M0 Finished execution. Total duration - 4003.311
(2020-12-01 23:53:08,486) [START] Task-37_R0 Started Execution
(2020-12-01 23:53:09,354) [START] Task-42_M0 Started Execution
(2020-12-01 23:53:09,356) [START] Task-42_M3 Started Execution
(2020-12-01 23:53:09,693) [FINISH] TASK 36_R1 Finished execution. Total duration - 3002.815
(2020-12-01 23:53:10,356) [FINISH] TASK 42_M0 Finished execution. Total duration - 1001.253
(2020-12-01 23:53:10,488) [FINISH] TASK 37_R0 Finished execution. Total duration - 2001.364
(2020-12-01 23:53:11,227) [START] Task-40_R0 Started Execution
(2020-12-01 23:53:12,069) [START] Task-43_M1 Started Execution
(2020-12-01 23:53:12,228) [FINISH] TASK 40_R0 Finished execution. Total duration - 1000.833
(2020-12-01 23:53:12,360) [FINISH] TASK 42_M3 Finished execution. Total duration - 3003.321
(2020-12-01 23:53:12,371) [START] Task-42_R1 Started Execution
(2020-12-01 23:53:13,979) [START] Task-44_M2 Started Execution
(2020-12-01 23:53:15,373) [FINISH] TASK 42_R1 Finished execution. Total duration - 3001.860
(2020-12-01 23:53:15,795) [START] Task-45_M1 Started Execution
(2020-12-01 23:53:16,073) [FINISH] TASK 43_M1 Finished execution. Total duration - 4004.126
(2020-12-01 23:53:17,831) [START] Task-46_M1 Started Execution
(2020-12-01 23:53:17,983) [FINISH] TASK 44_M2 Finished execution. Total duration - 4003.946
