(2020-12-01 16:00:14,533) [START] Task-0_M0 Started Execution
(2020-12-01 16:00:16,201) [START] Task-1_M0 Started Execution
(2020-12-01 16:00:16,201) [START] Task-1_M1 Started Execution
(2020-12-01 16:00:17,614) [START] Task-3_M0 Started Execution
(2020-12-01 16:00:18,203) [FINISH] TASK 1_M0 Finished execution. Total duration - 1754
(2020-12-01 16:00:18,322) [START] Task-4_M0 Started Execution
(2020-12-01 16:00:18,537) [FINISH] TASK 0_M0 Finished execution. Total duration - 3749
(2020-12-01 16:00:19,205) [FINISH] TASK 1_M1 Finished execution. Total duration - 3263
(2020-12-01 16:00:19,211) [START] Task-1_R1 Started Execution
(2020-12-01 16:00:19,769) [START] Task-7_M0 Started Execution
(2020-12-01 16:00:19,770) [START] Task-7_M1 Started Execution
(2020-12-01 16:00:19,793) [START] Task-8_M0 Started Execution
(2020-12-01 16:00:20,028) [START] Task-9_M0 Started Execution
(2020-12-01 16:00:20,212) [FINISH] TASK 1_R1 Finished execution. Total duration - 1215
(2020-12-01 16:00:20,213) [START] Task-9_M3 Started Execution
(2020-12-01 16:00:20,618) [FINISH] TASK 3_M0 Finished execution. Total duration - 4124
(2020-12-01 16:00:20,628) [START] Task-3_R1 Started Execution
(2020-12-01 16:00:21,030) [FINISH] TASK 9_M0 Finished execution. Total duration - 1189
(2020-12-01 16:00:21,325) [FINISH] TASK 4_M0 Finished execution. Total duration - 2737
(2020-12-01 16:00:21,331) [START] Task-4_R0 Started Execution
(2020-12-01 16:00:21,575) [START] Task-2_R0 Started Execution
(2020-12-01 16:00:21,796) [FINISH] TASK 8_M0 Finished execution. Total duration - 2808
(2020-12-01 16:00:21,803) [START] Task-8_R0 Started Execution
(2020-12-01 16:00:22,332) [FINISH] TASK 4_R0 Finished execution. Total duration - 1162
(2020-12-01 16:00:22,577) [FINISH] TASK 2_R0 Finished execution. Total duration - 1526
(2020-12-01 16:00:22,805) [FINISH] TASK 8_R0 Finished execution. Total duration - 1297
(2020-12-01 16:00:23,216) [FINISH] TASK 9_M3 Finished execution. Total duration - 3368
(2020-12-01 16:00:23,632) [FINISH] TASK 3_R1 Finished execution. Total duration - 3825
(2020-12-01 16:00:23,773) [FINISH] TASK 7_M0 Finished execution. Total duration - 3447
(2020-12-01 16:00:23,774) [FINISH] TASK 7_M1 Finished execution. Total duration - 4152
(2020-12-01 16:00:23,789) [START] Task-7_R0 Started Execution
(2020-12-01 16:00:24,791) [FINISH] TASK 7_R0 Finished execution. Total duration - 1578
(2020-12-01 16:04:53,089) [START] Task-0_M0 Started Execution
(2020-12-01 16:04:53,279) [START] Task-1_M2 Started Execution
(2020-12-01 16:04:53,694) [START] Task-3_M2 Started Execution
(2020-12-01 16:04:56,359) [START] Task-4_M1 Started Execution
(2020-12-01 16:04:56,414) [START] Task-5_M2 Started Execution
(2020-12-01 16:04:56,415) [START] Task-5_M3 Started Execution
(2020-12-01 16:05:02,012) [START] Task-7_M1 Started Execution
(2020-12-01 16:05:02,058) [START] Task-8_M0 Started Execution
(2020-12-01 16:05:02,060) [START] Task-8_M1 Started Execution
